airline_name,date_of_journey,month,month_name,day_of_week,is_weekend,Source,destination,route,Origin,Stop_1,Stop_2,Stop3,Total_stops,dep_time,Arrival_time,Duration,Duration_mins,Route_Type,Additional_info,Price,Price_Per_Min
Alliance Air,09-06-2021,6,June,Wednesday,Yes,Raipur,Guwahati,RAI-VAR-GUW,RAI,VAR,GUW,,1 stop,18:19,04:29,2h 30min,150,Domestic_Long,Business class available,6245,41.63
Vistara,12-02-2021,2,February,Friday,Yes,Delhi,Ahmedabad,DEL-PAT-RAI-GUW-AHM,DEL,PAT,RAI,GUW,3 stops,12:03,05:46,1h 0min,60,Domestic_Short,New aircraft,12678,211.3
Alliance Air,11-11-2020,11,November,Wednesday,No,Mumbai,Guwahati,MUM-GUW,MUM,GUW,,,non-stop,13:36,13:45,6h 45min,405,Domestic_Long,Red-eye flight,9999,24.69
SpiceJet,24-07-2019,7,July,Wednesday,No,Kolkata,Hyderabad,KOL-HYD,KOL,HYD,,,non-stop,06:29,09:17,7h 30min,450,Domestic_Long,WiFi available,10016,22.26
Akasa Air,18-10-2024,10,October,Friday,No,Varanasi,Indore,VAR-IND,VAR,IND,,,non-stop,11:54,03:41,1h 45min,105,Domestic_Short,WiFi available,8996,85.68
Akasa Air,28-04-2024,4,April,Sunday,No,Patna,Hyderabad,PAT-HYD,PAT,HYD,,,non-stop,22:57,09:34,10h 0min,600,Domestic_Long,Red-eye flight,6667,11.11
Akasa Air,14-06-2019,6,June,Friday,No,Lucknow,Hyderabad,LUC-PUN-RAI-JAI-HYD,LUC,PUN,RAI,JAI,3 stops,11:47,03:28,10h 45min,645,Domestic_Long,Business class available,15842,24.56
Star Air,02-11-2021,11,November,Tuesday,Yes,Cochin,Chennai,COC-HYD-CHE,COC,HYD,CHE,,1 stop,03:43,03:01,2h 0min,120,Domestic_Long,In-flight meal not included,10593,88.28
SpiceJet,01-10-2020,10,October,Thursday,Yes,Varanasi,Pune,VAR-BAN-PUN,VAR,BAN,PUN,,1 stop,22:24,13:02,11h 45min,705,Domestic_Long,Extra baggage allowed,13035,18.49
Vistara,07-03-2022,3,March,Monday,No,Kolkata,Raipur,KOL-GOA-MUM-RAI,KOL,GOA,MUM,RAI,2 stops,00:00,07:39,13h 0min,780,Domestic_Long,Red-eye flight,13242,16.98
TruJet,12-07-2023,7,July,Wednesday,No,Ahmedabad,Lucknow,AHM-GOA-LUC,AHM,GOA,LUC,,1 stop,17:59,10:30,6h 30min,390,Domestic_Long,Business class available,6131,15.72
Air India,06-12-2019,12,December,Friday,No,Surat,Lucknow,SUR-GOA-HYD-BHU-LUC,SUR,GOA,HYD,BHU,3 stops,15:54,16:27,10h 0min,600,Domestic_Long,Red-eye flight,7984,13.31
AirAsia India,07-10-2023,10,October,Saturday,No,Chennai,Kolkata,CHE-LUC-GOA-KOL,CHE,LUC,GOA,KOL,2 stops,08:28,06:30,11h 45min,705,Domestic_Long,In-flight meal not included,12733,18.06
SpiceJet,18-03-2024,3,March,Monday,No,Hyderabad,Bangalore,HYD-KOL-BAN,HYD,KOL,BAN,,1 stop,08:02,17:49,5h 15min,315,Domestic_Long,WiFi available,12664,40.2
Vistara,25-12-2021,12,December,Saturday,Yes,Raipur,Lucknow,RAI-JAI-PAT-PUN-LUC,RAI,JAI,PAT,PUN,3 stops,13:35,06:11,14h 30min,870,Domestic_Long,Business class available,10940,12.57
IndiGo,10-02-2024,2,February,Saturday,Yes,Goa,Delhi,GOA-JAI-VAR-DEL,GOA,JAI,VAR,DEL,2 stops,21:46,14:13,12h 30min,750,Domestic_Long,Business class available,9785,13.05
Vistara,18-11-2020,11,November,Wednesday,No,Pune,Patna,PUN-RAI-DEL-PAT,PUN,RAI,DEL,PAT,2 stops,13:37,08:20,14h 15min,855,Domestic_Long,No info,6753,7.9
TruJet,12-09-2021,9,September,Sunday,No,Mumbai,Lucknow,MUM-LUC,MUM,LUC,,,non-stop,21:23,12:47,9h 15min,555,Domestic_Long,In-flight meal not included,9732,17.54
Alliance Air,24-08-2025,8,August,Sunday,No,Patna,Cochin,PAT-BHU-DEL-COC,PAT,BHU,DEL,COC,2 stops,23:00,18:48,13h 30min,810,Domestic_Long,WiFi available,5661,6.99
Vistara,08-12-2024,12,December,Sunday,No,Hyderabad,Bangalore,HYD-GOA-KOL-SUR-BAN,HYD,GOA,KOL,SUR,3 stops,09:39,07:41,8h 15min,495,Domestic_Long,WiFi available,9475,19.14
Akasa Air,24-03-2023,3,March,Friday,No,Pune,Bhubaneswar,PUN-HYD-IND-BHU,PUN,HYD,IND,BHU,2 stops,10:01,21:32,5h 30min,330,Domestic_Long,In-flight meal not included,11585,35.11
Air India,02-05-2023,5,May,Tuesday,Yes,Guwahati,Kolkata,GUW-SUR-CHE-KOL,GUW,SUR,CHE,KOL,2 stops,14:31,09:41,3h 30min,210,Domestic_Long,Red-eye flight,9571,45.58
Star Air,15-09-2024,9,September,Sunday,Yes,Patna,Bangalore,PAT-COC-CHE-BAN,PAT,COC,CHE,BAN,2 stops,18:11,06:04,7h 15min,435,Domestic_Long,Extra baggage allowed,14186,32.61
Star Air,08-10-2025,10,October,Wednesday,No,Bangalore,Bhubaneswar,BAN-PUN-MUM-BHU,BAN,PUN,MUM,BHU,2 stops,14:27,00:44,13h 30min,810,Domestic_Long,Extra baggage allowed,7114,8.78
SpiceJet,15-03-2022,3,March,Tuesday,No,Indore,Jaipur,IND-VAR-CHE-JAI,IND,VAR,CHE,JAI,2 stops,12:22,18:30,1h 15min,75,Domestic_Short,1 Long layover,10727,143.03
Star Air,28-06-2023,6,June,Wednesday,No,Jaipur,Pune,JAI-PUN,JAI,PUN,,,non-stop,22:45,00:50,7h 45min,465,Domestic_Long,WiFi available,9385,20.18
GoAir,02-02-2025,2,February,Sunday,No,Guwahati,Mumbai,GUW-SUR-PUN-MUM,GUW,SUR,PUN,MUM,2 stops,10:43,18:55,12h 0min,720,Domestic_Long,WiFi available,9793,13.6
TruJet,23-08-2025,8,August,Saturday,No,Ahmedabad,Mumbai,AHM-MUM,AHM,MUM,,,non-stop,21:08,18:50,1h 0min,60,Domestic_Short,No info,9093,151.55
TruJet,23-06-2022,6,June,Thursday,Yes,Bangalore,Hyderabad,BAN-BHU-KOL-CHE-HYD,BAN,BHU,KOL,CHE,3 stops,10:54,09:44,3h 45min,225,Domestic_Long,Extra baggage allowed,13463,59.84
Air India,08-08-2022,8,August,Monday,Yes,Bhubaneswar,Varanasi,BHU-VAR,BHU,VAR,,,non-stop,05:38,21:23,15h 30min,930,Domestic_Long,No info,9411,10.12
IndiGo,21-02-2023,2,February,Tuesday,No,Chennai,Varanasi,CHE-GOA-RAI-IND-VAR,CHE,GOA,RAI,IND,3 stops,19:39,05:03,4h 0min,240,Domestic_Long,Limited seats,12933,53.89
TruJet,14-09-2019,9,September,Saturday,No,Ahmedabad,Cochin,AHM-RAI-LUC-COC,AHM,RAI,LUC,COC,2 stops,13:46,04:00,14h 0min,840,Domestic_Long,1 Long layover,10579,12.59
Star Air,15-02-2023,2,February,Wednesday,No,Chennai,Varanasi,CHE-IND-COC-VAR,CHE,IND,COC,VAR,2 stops,09:18,02:05,15h 15min,915,Domestic_Long,Limited seats,8290,9.06
IndiGo,16-05-2022,5,May,Monday,No,Varanasi,Kolkata,VAR-KOL,VAR,KOL,,,non-stop,00:52,14:51,14h 30min,870,Domestic_Long,New aircraft,7370,8.47
IndiGo,11-12-2025,12,December,Thursday,No,Jaipur,Guwahati,JAI-GUW,JAI,GUW,,,non-stop,08:55,08:11,11h 0min,660,Domestic_Long,In-flight meal not included,4403,6.67
Alliance Air,26-06-2023,6,June,Monday,Yes,Chennai,Guwahati,CHE-RAI-VAR-GUW,CHE,RAI,VAR,GUW,2 stops,01:37,14:45,5h 30min,330,Domestic_Long,Limited seats,13646,41.35
SpiceJet,06-05-2021,5,May,Thursday,Yes,Indore,Guwahati,IND-PAT-GOA-GUW,IND,PAT,GOA,GUW,2 stops,17:15,19:33,15h 45min,945,Domestic_Long,Business class available,14627,15.48
Vistara,12-06-2024,6,June,Wednesday,No,Varanasi,Goa,VAR-NAG-HYD-GOA,VAR,NAG,HYD,GOA,2 stops,20:02,21:41,13h 15min,795,Domestic_Long,1 Long layover,9503,11.95
Star Air,25-04-2020,4,April,Saturday,No,Bangalore,Varanasi,BAN-NAG-COC-HYD-VAR,BAN,NAG,COC,HYD,3 stops,18:19,04:17,2h 0min,120,Domestic_Long,Red-eye flight,16495,137.46
AirAsia India,18-02-2025,2,February,Tuesday,No,Lucknow,Cochin,LUC-GOA-HYD-COC,LUC,GOA,HYD,COC,2 stops,15:41,19:43,8h 45min,525,Domestic_Long,1 Long layover,10392,19.79
Akasa Air,26-03-2024,3,March,Tuesday,No,Cochin,Pune,COC-AHM-HYD-PAT-PUN,COC,AHM,HYD,PAT,3 stops,06:55,20:12,6h 15min,375,Domestic_Long,Red-eye flight,11569,30.85
IndiGo,15-10-2023,10,October,Sunday,No,Hyderabad,Bhubaneswar,HYD-GUW-AHM-BAN-BHU,HYD,GUW,AHM,BAN,3 stops,23:50,10:22,13h 45min,825,Domestic_Long,Limited seats,15732,19.07
SpiceJet,18-04-2021,4,April,Sunday,Yes,Bhubaneswar,Indore,BHU-RAI-IND,BHU,RAI,IND,,1 stop,20:42,11:03,6h 0min,360,Domestic_Long,WiFi available,10991,30.53
Air India,15-12-2022,12,December,Thursday,Yes,Varanasi,Nagpur,VAR-IND-BAN-NAG,VAR,IND,BAN,NAG,2 stops,05:52,16:15,8h 45min,525,Domestic_Long,In-flight meal not included,7504,14.29
SpiceJet,16-09-2023,9,September,Saturday,No,Nagpur,Kolkata,NAG-PAT-GUW-PUN-KOL,NAG,PAT,GUW,PUN,3 stops,21:10,03:50,11h 15min,675,Domestic_Long,1 Long layover,16942,25.1
AirAsia India,12-07-2021,7,July,Monday,No,Bhubaneswar,Hyderabad,BHU-HYD,BHU,HYD,,,non-stop,04:54,02:19,6h 0min,360,Domestic_Long,WiFi available,6870,19.08
SpiceJet,01-10-2022,10,October,Saturday,No,Goa,Cochin,GOA-JAI-MUM-COC,GOA,JAI,MUM,COC,2 stops,08:48,09:47,9h 45min,585,Domestic_Long,Red-eye flight,10644,18.19
TruJet,21-09-2022,9,September,Wednesday,No,Hyderabad,Indore,HYD-DEL-GOA-IND,HYD,DEL,GOA,IND,2 stops,02:06,16:48,1h 45min,105,Domestic_Short,1 Long layover,8035,76.52
Alliance Air,08-04-2020,4,April,Wednesday,No,Guwahati,Bhubaneswar,GUW-BHU,GUW,BHU,,,non-stop,03:36,09:18,8h 30min,510,Domestic_Long,WiFi available,4918,9.64
Air India,13-02-2021,2,February,Saturday,Yes,Hyderabad,Nagpur,HYD-LUC-COC-VAR-NAG,HYD,LUC,COC,VAR,3 stops,15:29,05:16,5h 30min,330,Domestic_Long,Limited seats,16865,51.11
Akasa Air,09-07-2024,7,July,Tuesday,Yes,Ahmedabad,Kolkata,AHM-GUW-KOL,AHM,GUW,KOL,,1 stop,15:18,12:22,1h 30min,90,Domestic_Short,Red-eye flight,7781,86.46
Alliance Air,23-08-2020,8,August,Sunday,No,Bangalore,Raipur,BAN-RAI,BAN,RAI,,,non-stop,05:25,13:50,6h 30min,390,Domestic_Long,In-flight meal not included,6189,15.87
IndiGo,09-04-2022,4,April,Saturday,No,Chennai,Bangalore,CHE-JAI-VAR-SUR-BAN,CHE,JAI,VAR,SUR,3 stops,10:34,14:48,1h 30min,90,Domestic_Short,Business class available,11896,132.18
IndiGo,24-05-2023,5,May,Wednesday,No,Jaipur,Nagpur,JAI-NAG,JAI,NAG,,,non-stop,09:37,14:52,7h 0min,420,Domestic_Long,Business class available,5557,13.23
Star Air,07-12-2019,12,December,Saturday,No,Chennai,Raipur,CHE-MUM-RAI,CHE,MUM,RAI,,1 stop,23:30,17:13,6h 45min,405,Domestic_Long,Limited seats,5852,14.45
Star Air,15-03-2020,3,March,Sunday,No,Delhi,Hyderabad,DEL-PAT-HYD,DEL,PAT,HYD,,1 stop,06:48,05:23,6h 45min,405,Domestic_Long,In-flight meal not included,9195,22.7
GoAir,19-03-2025,3,March,Wednesday,Yes,Hyderabad,Cochin,HYD-JAI-COC,HYD,JAI,COC,,1 stop,01:55,00:21,9h 30min,570,Domestic_Long,Extra baggage allowed,3566,6.26
Alliance Air,23-03-2021,3,March,Tuesday,Yes,Surat,Hyderabad,SUR-MUM-RAI-JAI-HYD,SUR,MUM,RAI,JAI,3 stops,18:24,05:58,6h 0min,360,Domestic_Long,WiFi available,15583,43.29
TruJet,06-10-2025,10,October,Monday,No,Bangalore,Hyderabad,BAN-MUM-HYD,BAN,MUM,HYD,,1 stop,12:23,10:10,3h 0min,180,Domestic_Long,Business class available,12345,68.58
Vistara,14-04-2019,4,April,Sunday,No,Raipur,Chennai,RAI-IND-JAI-CHE,RAI,IND,JAI,CHE,2 stops,09:21,02:14,15h 15min,915,Domestic_Long,1 Long layover,4264,4.66
TruJet,27-01-2022,1,January,Thursday,No,Indore,Lucknow,IND-SUR-LUC,IND,SUR,LUC,,1 stop,23:33,12:42,4h 0min,240,Domestic_Long,No info,8749,36.45
IndiGo,27-02-2022,2,February,Sunday,No,Goa,Indore,GOA-CHE-NAG-BHU-IND,GOA,CHE,NAG,BHU,3 stops,23:26,23:05,5h 0min,300,Domestic_Long,No info,15607,52.02
Air India,16-01-2023,1,January,Monday,No,Indore,Nagpur,IND-NAG,IND,NAG,,,non-stop,12:22,09:09,13h 30min,810,Domestic_Long,Red-eye flight,7962,9.83
GoAir,27-05-2024,5,May,Monday,Yes,Bhubaneswar,Varanasi,BHU-COC-NAG-GUW-VAR,BHU,COC,NAG,GUW,3 stops,08:22,14:20,1h 0min,60,Domestic_Short,1 Long layover,11438,190.63
Vistara,28-09-2021,9,September,Tuesday,Yes,Pune,Varanasi,PUN-VAR,PUN,VAR,,,non-stop,04:07,03:34,5h 30min,330,Domestic_Long,In-flight meal not included,4267,12.93
Akasa Air,21-10-2023,10,October,Saturday,No,Mumbai,Kolkata,MUM-SUR-KOL,MUM,SUR,KOL,,1 stop,02:07,20:12,10h 0min,600,Domestic_Long,1 Long layover,12913,21.52
TruJet,20-02-2025,2,February,Thursday,No,Hyderabad,Raipur,HYD-RAI,HYD,RAI,,,non-stop,00:01,21:11,11h 45min,705,Domestic_Long,1 Long layover,8114,11.51
Air India,18-12-2023,12,December,Monday,No,Nagpur,Mumbai,NAG-MUM,NAG,MUM,,,non-stop,01:01,13:04,1h 30min,90,Domestic_Short,No info,4854,53.93
Air India,20-04-2023,4,April,Thursday,No,Kolkata,Bangalore,KOL-IND-AHM-BAN,KOL,IND,AHM,BAN,2 stops,18:58,15:31,5h 30min,330,Domestic_Long,Business class available,12620,38.24
Star Air,07-05-2019,5,May,Tuesday,No,Indore,Lucknow,IND-VAR-PAT-MUM-LUC,IND,VAR,PAT,MUM,3 stops,20:13,13:54,10h 30min,630,Domestic_Long,Business class available,10042,15.94
Vistara,06-06-2020,6,June,Saturday,Yes,Indore,Guwahati,IND-COC-GUW,IND,COC,GUW,,1 stop,15:29,20:03,4h 0min,240,Domestic_Long,WiFi available,6895,28.73
AirAsia India,07-08-2024,8,August,Wednesday,Yes,Varanasi,Pune,VAR-PUN,VAR,PUN,,,non-stop,02:14,02:01,8h 0min,480,Domestic_Long,Limited seats,6683,13.92
Air India,25-09-2021,9,September,Saturday,No,Ahmedabad,Goa,AHM-GOA,AHM,GOA,,,non-stop,03:01,11:13,14h 45min,885,Domestic_Long,Red-eye flight,8194,9.26
Vistara,21-07-2023,7,July,Friday,No,Kolkata,Indore,KOL-IND,KOL,IND,,,non-stop,01:41,16:11,2h 30min,150,Domestic_Long,WiFi available,11754,78.36
AirAsia India,03-08-2022,8,August,Wednesday,No,Bangalore,Varanasi,BAN-VAR,BAN,VAR,,,non-stop,17:09,17:54,12h 0min,720,Domestic_Long,Limited seats,5413,7.52
IndiGo,10-03-2022,3,March,Thursday,No,Varanasi,Bhubaneswar,VAR-BAN-RAI-BHU,VAR,BAN,RAI,BHU,2 stops,05:30,02:59,12h 45min,765,Domestic_Long,Limited seats,6266,8.19
IndiGo,15-01-2021,1,January,Friday,No,Jaipur,Delhi,JAI-DEL,JAI,DEL,,,non-stop,05:12,14:51,7h 30min,450,Domestic_Long,WiFi available,10501,23.34
Air India,25-06-2024,6,June,Tuesday,Yes,Mumbai,Hyderabad,MUM-JAI-HYD,MUM,JAI,HYD,,1 stop,19:44,22:34,12h 15min,735,Domestic_Long,Business class available,7560,10.29
Star Air,01-12-2022,12,December,Thursday,Yes,Pune,Lucknow,PUN-LUC,PUN,LUC,,,non-stop,14:10,20:20,15h 45min,945,Domestic_Long,1 Long layover,2510,2.66
Star Air,24-04-2022,4,April,Sunday,No,Guwahati,Bangalore,GUW-COC-HYD-BAN,GUW,COC,HYD,BAN,2 stops,14:53,22:36,3h 45min,225,Domestic_Long,New aircraft,9188,40.84
GoAir,06-07-2025,7,July,Sunday,No,Bhubaneswar,Bangalore,BHU-JAI-SUR-HYD-BAN,BHU,JAI,SUR,HYD,3 stops,07:23,22:33,2h 30min,150,Domestic_Long,WiFi available,14671,97.81
Alliance Air,02-10-2022,10,October,Sunday,No,Chennai,Cochin,CHE-VAR-DEL-COC,CHE,VAR,DEL,COC,2 stops,23:51,05:06,4h 45min,285,Domestic_Long,No info,8247,28.94
Star Air,28-10-2024,10,October,Monday,No,Lucknow,Hyderabad,LUC-KOL-HYD,LUC,KOL,HYD,,1 stop,01:46,14:26,4h 30min,270,Domestic_Long,Business class available,12082,44.75
Star Air,07-11-2024,11,November,Thursday,No,Mumbai,Goa,MUM-AHM-SUR-GOA,MUM,AHM,SUR,GOA,2 stops,23:17,11:28,2h 45min,165,Domestic_Long,Extra baggage allowed,13917,84.35
Akasa Air,11-09-2020,9,September,Friday,Yes,Nagpur,Hyderabad,NAG-HYD,NAG,HYD,,,non-stop,15:53,18:43,11h 45min,705,Domestic_Long,Business class available,7908,11.22
Star Air,13-09-2023,9,September,Wednesday,Yes,Raipur,Chennai,RAI-AHM-CHE,RAI,AHM,CHE,,1 stop,01:03,01:34,13h 45min,825,Domestic_Long,Business class available,4281,5.19
AirAsia India,20-12-2019,12,December,Friday,No,Jaipur,Ahmedabad,JAI-AHM,JAI,AHM,,,non-stop,01:52,07:22,5h 30min,330,Domestic_Long,Extra baggage allowed,10653,32.28
SpiceJet,27-10-2021,10,October,Wednesday,No,Surat,Cochin,SUR-COC,SUR,COC,,,non-stop,08:52,21:15,8h 0min,480,Domestic_Long,1 Long layover,5361,11.17
TruJet,05-02-2024,2,February,Monday,No,Jaipur,Hyderabad,JAI-LUC-SUR-RAI-HYD,JAI,LUC,SUR,RAI,3 stops,11:21,12:00,14h 45min,885,Domestic_Long,1 Long layover,12900,14.58
SpiceJet,04-05-2021,5,May,Tuesday,No,Varanasi,Lucknow,VAR-CHE-PUN-GUW-LUC,VAR,CHE,PUN,GUW,3 stops,02:26,02:12,10h 30min,630,Domestic_Long,In-flight meal not included,7985,12.67
GoAir,04-08-2024,8,August,Sunday,No,Ahmedabad,Surat,AHM-BAN-SUR,AHM,BAN,SUR,,1 stop,05:29,14:04,15h 30min,930,Domestic_Long,New aircraft,8565,9.21
Akasa Air,25-03-2025,3,March,Tuesday,Yes,Guwahati,Pune,GUW-RAI-VAR-PUN,GUW,RAI,VAR,PUN,2 stops,13:42,20:02,4h 30min,270,Domestic_Long,WiFi available,11580,42.89
Vistara,19-04-2022,4,April,Tuesday,Yes,Varanasi,Ahmedabad,VAR-HYD-JAI-CHE-AHM,VAR,HYD,JAI,CHE,3 stops,00:38,06:07,12h 0min,720,Domestic_Long,New aircraft,10825,15.03
Vistara,03-11-2025,11,November,Monday,No,Kolkata,Varanasi,KOL-COC-JAI-VAR,KOL,COC,JAI,VAR,2 stops,02:24,22:29,14h 15min,855,Domestic_Long,New aircraft,8681,10.15
AirAsia India,13-11-2021,11,November,Saturday,No,Mumbai,Bangalore,MUM-COC-GUW-BAN,MUM,COC,GUW,BAN,2 stops,19:46,13:44,7h 0min,420,Domestic_Long,Extra baggage allowed,5700,13.57
Star Air,19-07-2023,7,July,Wednesday,No,Nagpur,Kolkata,NAG-DEL-AHM-KOL,NAG,DEL,AHM,KOL,2 stops,23:29,07:00,6h 0min,360,Domestic_Long,New aircraft,14892,41.37
GoAir,28-09-2021,9,September,Tuesday,No,Indore,Patna,IND-AHM-PAT,IND,AHM,PAT,,1 stop,19:30,00:02,8h 15min,495,Domestic_Long,New aircraft,12445,25.14
IndiGo,11-09-2023,9,September,Monday,No,Chennai,Pune,CHE-GUW-PAT-PUN,CHE,GUW,PAT,PUN,2 stops,21:39,17:38,10h 45min,645,Domestic_Long,1 Long layover,14465,22.43
IndiGo,17-07-2022,7,July,Sunday,Yes,Patna,Guwahati,PAT-DEL-JAI-GUW,PAT,DEL,JAI,GUW,2 stops,13:53,20:04,4h 45min,285,Domestic_Long,Red-eye flight,13634,47.84
Alliance Air,28-06-2024,6,June,Friday,Yes,Ahmedabad,Chennai,AHM-CHE,AHM,CHE,,,non-stop,08:53,10:11,2h 0min,120,Domestic_Long,1 Long layover,10526,87.72
Star Air,13-07-2022,7,July,Wednesday,No,Nagpur,Surat,NAG-MUM-SUR,NAG,MUM,SUR,,1 stop,20:08,22:08,2h 15min,135,Domestic_Long,1 Long layover,8285,61.37
Akasa Air,25-06-2019,6,June,Tuesday,No,Bangalore,Guwahati,BAN-GUW,BAN,GUW,,,non-stop,00:06,20:45,12h 15min,735,Domestic_Long,Red-eye flight,4869,6.62
GoAir,18-11-2025,11,November,Tuesday,No,Surat,Chennai,SUR-GUW-PUN-DEL-CHE,SUR,GUW,PUN,DEL,3 stops,13:11,05:16,2h 15min,135,Domestic_Long,Limited seats,9274,68.7
GoAir,20-06-2019,6,June,Thursday,No,Chennai,Bhubaneswar,CHE-NAG-BHU,CHE,NAG,BHU,,1 stop,22:44,15:52,8h 0min,480,Domestic_Long,New aircraft,4968,10.35
SpiceJet,04-11-2021,11,November,Thursday,No,Guwahati,Cochin,GUW-AHM-RAI-COC,GUW,AHM,RAI,COC,2 stops,17:56,20:20,2h 15min,135,Domestic_Long,Limited seats,10170,75.33
Alliance Air,17-09-2024,9,September,Tuesday,Yes,Bhubaneswar,Hyderabad,BHU-LUC-HYD,BHU,LUC,HYD,,1 stop,11:42,00:55,14h 45min,885,Domestic_Long,WiFi available,5374,6.07
AirAsia India,16-04-2024,4,April,Tuesday,Yes,Varanasi,Patna,VAR-PAT,VAR,PAT,,,non-stop,14:00,18:07,8h 0min,480,Domestic_Long,In-flight meal not included,6100,12.71
Vistara,11-07-2025,7,July,Friday,No,Hyderabad,Bhubaneswar,HYD-IND-MUM-GOA-BHU,HYD,IND,MUM,GOA,3 stops,20:56,22:30,5h 30min,330,Domestic_Long,Red-eye flight,10468,31.72
Star Air,05-04-2019,4,April,Friday,No,Kolkata,Guwahati,KOL-GUW,KOL,GUW,,,non-stop,08:41,21:03,4h 15min,255,Domestic_Long,No info,4289,16.82
TruJet,04-12-2023,12,December,Monday,No,Jaipur,Varanasi,JAI-VAR,JAI,VAR,,,non-stop,08:52,23:23,1h 15min,75,Domestic_Short,New aircraft,4094,54.59
AirAsia India,18-06-2019,6,June,Tuesday,No,Varanasi,Mumbai,VAR-HYD-JAI-MUM,VAR,HYD,JAI,MUM,2 stops,06:37,02:24,15h 45min,945,Domestic_Long,Red-eye flight,7151,7.57
Akasa Air,12-08-2025,8,August,Tuesday,No,Nagpur,Surat,NAG-MUM-LUC-SUR,NAG,MUM,LUC,SUR,2 stops,04:31,07:43,6h 15min,375,Domestic_Long,No info,5244,13.98
TruJet,07-06-2024,6,June,Friday,Yes,Pune,Goa,PUN-VAR-CHE-GOA,PUN,VAR,CHE,GOA,2 stops,17:26,11:14,4h 30min,270,Domestic_Long,1 Long layover,7692,28.49
GoAir,19-09-2021,9,September,Sunday,Yes,Jaipur,Ahmedabad,JAI-AHM,JAI,AHM,,,non-stop,05:55,03:03,2h 45min,165,Domestic_Long,Extra baggage allowed,4240,25.7
SpiceJet,13-11-2023,11,November,Monday,No,Nagpur,Mumbai,NAG-HYD-MUM,NAG,HYD,MUM,,1 stop,23:51,11:24,3h 15min,195,Domestic_Long,Limited seats,6181,31.7
SpiceJet,16-01-2024,1,January,Tuesday,No,Chennai,Bhubaneswar,CHE-BHU,CHE,BHU,,,non-stop,10:21,15:54,9h 15min,555,Domestic_Long,1 Long layover,8305,14.96
IndiGo,17-06-2021,6,June,Thursday,No,Hyderabad,Delhi,HYD-DEL,HYD,DEL,,,non-stop,07:32,03:06,15h 30min,930,Domestic_Long,WiFi available,3609,3.88
SpiceJet,10-06-2022,6,June,Friday,No,Cochin,Surat,COC-HYD-SUR,COC,HYD,SUR,,1 stop,00:13,03:05,9h 30min,570,Domestic_Long,Red-eye flight,7565,13.27
Star Air,27-05-2019,5,May,Monday,No,Chennai,Hyderabad,CHE-HYD,CHE,HYD,,,non-stop,06:35,00:21,9h 30min,570,Domestic_Long,WiFi available,5449,9.56
GoAir,05-07-2025,7,July,Saturday,Yes,Guwahati,Lucknow,GUW-KOL-PAT-SUR-LUC,GUW,KOL,PAT,SUR,3 stops,19:52,09:07,3h 45min,225,Domestic_Long,Extra baggage allowed,7010,31.16
SpiceJet,09-09-2021,9,September,Thursday,Yes,Varanasi,Cochin,VAR-COC,VAR,COC,,,non-stop,02:22,13:55,10h 15min,615,Domestic_Long,Business class available,7078,11.51
Alliance Air,15-01-2022,1,January,Saturday,No,Jaipur,Delhi,JAI-VAR-DEL,JAI,VAR,DEL,,1 stop,03:12,21:15,9h 15min,555,Domestic_Long,In-flight meal not included,6472,11.66
IndiGo,02-10-2021,10,October,Saturday,No,Varanasi,Jaipur,VAR-CHE-JAI,VAR,CHE,JAI,,1 stop,07:34,14:20,15h 30min,930,Domestic_Long,Extra baggage allowed,5232,5.63
GoAir,21-01-2025,1,January,Tuesday,No,Kolkata,Hyderabad,KOL-IND-HYD,KOL,IND,HYD,,1 stop,22:23,20:33,13h 15min,795,Domestic_Long,Limited seats,7258,9.13
Star Air,23-06-2021,6,June,Wednesday,No,Lucknow,Nagpur,LUC-AHM-NAG,LUC,AHM,NAG,,1 stop,11:22,13:34,13h 15min,795,Domestic_Long,WiFi available,11833,14.88
Star Air,01-06-2025,6,June,Sunday,No,Raipur,Goa,RAI-DEL-SUR-MUM-GOA,RAI,DEL,SUR,MUM,3 stops,14:38,22:20,5h 0min,300,Domestic_Long,WiFi available,13576,45.25
Star Air,15-01-2025,1,January,Wednesday,Yes,Guwahati,Bangalore,GUW-NAG-BAN,GUW,NAG,BAN,,1 stop,14:27,18:48,9h 15min,555,Domestic_Long,No info,11937,21.51
Vistara,07-09-2020,9,September,Monday,Yes,Nagpur,Patna,NAG-SUR-GOA-PAT,NAG,SUR,GOA,PAT,2 stops,08:51,19:02,12h 30min,750,Domestic_Long,Red-eye flight,9570,12.76
Star Air,08-04-2024,4,April,Monday,No,Lucknow,Nagpur,LUC-AHM-NAG,LUC,AHM,NAG,,1 stop,02:23,00:47,2h 45min,165,Domestic_Long,WiFi available,7692,46.62
Vistara,21-04-2022,4,April,Thursday,No,Kolkata,Guwahati,KOL-CHE-AHM-GUW,KOL,CHE,AHM,GUW,2 stops,10:45,22:12,2h 15min,135,Domestic_Long,No info,9653,71.5
Star Air,14-12-2024,12,December,Saturday,No,Patna,Jaipur,PAT-JAI,PAT,JAI,,,non-stop,04:59,06:51,14h 15min,855,Domestic_Long,No info,10602,12.4
Akasa Air,26-07-2019,7,July,Friday,No,Hyderabad,Bangalore,HYD-VAR-KOL-BAN,HYD,VAR,KOL,BAN,2 stops,08:21,06:29,12h 15min,735,Domestic_Long,Business class available,11794,16.05
